feature_id,category,feature,mandatory,compatibility_mode,normative_source,source_anchor,expected_behavior,fixture_ids,test_ids,artifact_paths,tolerance_id,decision_record_id,allowed_terminal_status,status,waiver_id,notes
F027,panel,Irregular and unbalanced panels,true,core,stata+python+kyle,docs/verification-criteria.md#f027-irregular-and-unbalanced-panels,Unbalanced panels preserve row identity and imputation eligibility,F027,tests/testthat/test-f027-irregular-unbalanced.R,tests/fixtures/parity/f027-irregular-unbalanced,TOL006,D006+D020,parity-verified|approved-divergence,approved-divergence,,Includes duplicate validation
F028,weights,Weight type and scaling,true,core,stata+python+kyle,docs/verification-criteria.md#f028-weight-type-and-scaling,Analytic weight scaling is invariant and invalid weights error,F028,tests/testthat/test-f028-weight-scaling.R,tests/fixtures/parity/f028-weight-scaling,TOL001,D008+D021,parity-verified|approved-divergence,approved-divergence,,Importance and frequency weights are excluded
F029,weights,Custom wtr validation,true,core,stata,docs/verification-criteria.md#f029-custom-wtr-validation,Custom wtr names support and invalid combinations match Stata,F029,tests/testthat/test-f029-wtr-validation.R,tests/fixtures/parity/f029-wtr-validation,TOL006,D008+D022,parity-verified|approved-divergence,approved-divergence,,Includes zero-sum and duplicate names
F030,validation,Horizon input boundaries,true,core,stata+python+kyle,docs/verification-criteria.md#f030-horizon-input-boundaries,Horizon inputs validate boundaries order duplicates and support,F030,tests/testthat/test-f030-horizon-inputs.R,tests/fixtures/parity/f030-horizon-inputs,TOL006,D004+D023,parity-verified|approved-divergence,approved-divergence,,Errors are structured with D023 fail-closed divergences
F031,first-stage,FE rank pathologies,true,core,stata+python,docs/verification-criteria.md#f031-fe-rank-pathologies,Rank deficient FE cases error or drop exactly as specified,F031,tests/testthat/test-f031-fe-rank.R,tests/fixtures/parity/f031-fe-rank,TOL006,D007+D024,parity-verified|approved-divergence,approved-divergence,,Absorbed controls fail closed under D024
F032,diagnostics,Identification failures,true,core,stata+python,docs/verification-criteria.md#f032-identification-failures,No-control no-treated and nonimputable cases fail with diagnostics,F032,tests/testthat/test-f032-identification-failures.R,tests/fixtures/parity/f032-identification-failures,TOL006,D006+D025,parity-verified|approved-divergence,approved-divergence,,Omitted-zero identification failures fail closed under D025
F033,inference,Cluster and finite-sample rules,true,core,stata,docs/verification-criteria.md#f033-cluster-and-finite-sample-rules,Cluster edge cases and finite-sample corrections follow Stata,F033,tests/testthat/test-f033-cluster-rules.R,tests/fixtures/parity/f033-cluster-rules,TOL002,D009,parity-verified|approved-divergence,parity-verified,,One-cluster behavior must be explicit
F034,inference,CI and degrees-of-freedom parity,true,core,stata+kyle,docs/verification-criteria.md#f034-ci-and-degrees-of-freedom-parity,Confidence intervals and degrees-of-freedom use reference formulas,F034,tests/testthat/test-f034-ci-df.R,tests/fixtures/parity/f034-ci-df,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Kyle CI schema included
F035,inference,Covariance ordering and singularity,true,core,stata,docs/verification-criteria.md#f035-covariance-ordering-and-singularity,Covariance matrices preserve names order and singularity semantics,F035,tests/testthat/test-f035-covariance-ordering.R,tests/fixtures/parity/f035-covariance-ordering,TOL002,D009,parity-verified|approved-divergence,parity-verified,,Matrix stripes are exact
F036,oracle,Hand-solvable algebraic oracle,true,core,algebraic+stata+python+kyle,docs/verification-criteria.md#f036-hand-solvable-algebraic-oracle,Algebraic oracle independently verifies reference point estimates,F001+F036,tests/testthat/test-f036-algebraic-oracle.R,tests/fixtures/parity/f001-static-att/metadata,TOL001,D002+D017,parity-verified|approved-divergence,approved-divergence,,Do not derive oracle from R implementation; D017 records Python F001 numerical drift
F037,invariance,Transformation invariance,true,core,stata+python+kyle,docs/verification-criteria.md#f037-transformation-invariance,Row order scale and label transformations preserve invariant outputs,F037,tests/testthat/test-f037-invariance.R,tests/fixtures/parity/f037-invariance,TOL001,D008,parity-verified|approved-divergence,parity-verified,,Includes sorting invariance
F038,api,Data type and object behavior,true,r-native,behavior-decisions,docs/verification-criteria.md#f038-data-type-and-object-behavior,Supported input types return stable objects without mutating inputs,F038,tests/testthat/test-f038-data-types.R,tests/fixtures/api/f038-data-types,EXACT,D002,parity-verified|approved-divergence,parity-verified,,Input mutation forbidden
F039,artifacts,Saved-artifact row mapping,true,core,stata+python,docs/verification-criteria.md#f039-saved-artifact-row-mapping,Saved artifacts map exactly to stable original row ids,F039,tests/testthat/test-f039-artifact-row-mapping.R,tests/fixtures/parity/f039-artifact-row-mapping,TOL006,D011,parity-verified|approved-divergence,parity-verified,,Schema version required
F040,compatibility,Exact Kyle compatibility,true,kyle,kyle_didimputation,docs/verification-criteria.md#f040-exact-kyle-compatibility,Kyle public calls arguments output names row order and errors match,F040,tests/testthat/test-f040-kyle-compatibility.R,tests/fixtures/parity/f040-kyle-compatibility,TOL003,D014+D016,parity-verified|approved-divergence,approved-divergence,,Includes multi-outcome migration and D016 id-column divergence
F041,api,Python API and error surface,true,python,python_did_imputation,docs/verification-criteria.md#f041-python-api-and-error-surface,Python-compatible aliases fields placeholders and errors follow profile,F041,tests/testthat/test-f041-python-api.R,tests/fixtures/parity/f041-python-api,EXACT,D012+D017,parity-verified|approved-divergence,approved-divergence,,Unsupported placeholders need clear errors; D017 preserves Python object shape while core F001 numeric follows Stata/algebraic
F042,plotting,Plot input validation,true,core,stata+python,docs/verification-criteria.md#f042-plot-input-validation,Plot validation for missing duplicate invalid and partial inputs is exact,F042,tests/testthat/test-f042-plot-input-validation.R,tests/fixtures/parity/f042-plot-validation,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Validation errors are structured
F043,plotting,Plot multi-model semantics,true,core,stata+python,docs/verification-criteria.md#f043-plot-multi-model-semantics,Overlay perturbation shifting and legend data match semantic references,F043,tests/testthat/test-f043-plot-multimodel.R,tests/fixtures/parity/f043-plot-multimodel,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Supports extractable plot data
F044,plotting,Plot output and filesystem behavior,true,core,stata+python,docs/verification-criteria.md#f044-plot-output-and-filesystem-behavior,Plot object saving overwrite and noplot behavior match profile,F044,tests/testthat/test-f044-plot-filesystem.R,tests/fixtures/parity/f044-plot-filesystem,TOL004,D013,parity-verified|approved-divergence,parity-verified,,Default tests use local temp dirs only
F045,replication,Published and example replication,true,release,stata+python+kyle,docs/verification-criteria.md#f045-publishedexample-replication,Published examples and reference examples replicate with locked sources,F045,tests/testthat/test-f045-examples.R,tests/fixtures/parity/f045-examples,TOL001,D015+D023,parity-verified|approved-divergence,approved-divergence,,Network-free committed data required; D023 Kyle all-horizon divergence evidence is recorded
F046,differential,Randomized differential testing,true,core,stata+python+kyle,docs/verification-criteria.md#f046-randomized-differential-testing,Seeded random fixtures compare all applicable references,F046,tests/testthat/test-f046-differential.R,tests/fixtures/parity/f046-differential,TOL001,D015+D017+D026,parity-verified|approved-divergence,approved-divergence,,Seeds and generators must be committed
F047,simulation,Monte Carlo statistical sanity,true,core,algebraic,docs/verification-criteria.md#f047-monte-carlo-statistical-sanity,Monte Carlo checks recover known effects within fixed statistical bands,F047,tests/testthat/test-f047-monte-carlo.R,tests/fixtures/parity/f047-monte-carlo,TOL007,D015,parity-verified|approved-divergence,parity-verified,,Bands are frozen before implementation
F048,performance,Performance pathology,true,release,bench/budgets.yml,docs/verification-criteria.md#f048-performance-pathology,Pathological saved weights and high-dimensional cases meet budgets,F048,tests/testthat/test-f048-performance-pathology-schema.R,bench/results/f048,TOL005,NA,parity-verified|approved-divergence,parity-verified,,Benchmarks fail on missing baselines
F049,api,Object and method stability,true,r-native,behavior-decisions,docs/verification-criteria.md#f049-object-and-method-stability,S3 methods tidy outputs print names and snapshots remain stable,F049,tests/testthat/test-f049-object-methods.R,tests/snapshots/f049-object-methods,EXACT,D002,parity-verified|approved-divergence,parity-verified,,No accidental object-shape drift
F050,release,Clean install and portability,true,release,package-checks,docs/verification-criteria.md#f050-clean-install-and-portability,Package builds installs checks and tests across supported platforms,F050,tests/testthat/test-f050-package-check-gates.R,check-results,TOL008,D015,parity-verified|approved-divergence,parity-verified,,Default tests are offline
